observation_date,EUI6CZ Index,EUI1CZ Index,EUS1CZ Index,EUS2CZ Index,EUR1CZ Index,EUB1CZ Index,EUB5F4CZ Index,EUB5F5CZ Index,EUB5F6CZ Index,EUB5F7CZ Index,EUCCCZ Index,UMRTCZ Index,CZRUSHIN Index
2000-01-31,-4.1,27.9,,,24.2,19.4,3.5,0.0,34.2,12.5,-21.0,9.1,
2000-02-29,23.7,30.9,,,24.2,22.9,2.4,0.0,22.4,8.8,-21.5,9.3,
2000-03-31,20.9,35.4,,,34.2,16.6,3.0,0.0,33.3,12.4,-23.4,9.3,
2000-04-30,28.7,8.9,,,28.0,24.5,4.6,0.0,32.6,15.0,-20.6,9.0,
2000-05-31,34.5,45.9,,,29.6,24.7,4.4,0.0,34.6,14.3,-18.8,9.1,
2000-06-30,26.9,55.8,,,31.5,29.0,4.2,0.0,31.0,17.9,-18.6,8.7,
2000-07-31,18.1,45.2,,,28.0,32.8,4.0,2.8,31.0,11.8,-20.1,8.6,
2000-08-31,14.0,33.3,,,24.0,23.8,3.8,2.8,31.7,11.8,-17.7,8.6,
2000-09-30,28.1,36.8,,,19.4,30.8,6.3,0.0,34.9,14.7,-17.3,8.3,
2000-10-31,30.9,38.7,,,21.0,25.4,4.9,0.0,34.0,13.1,-15.2,8.4,
2000-11-30,32.7,18.9,,,31.8,18.4,6.5,0.0,27.5,12.9,-15.2,8.6,
2000-12-31,5.0,23.4,,,35.6,14.2,4.7,0.0,25.8,14.1,-21.2,8.2,
2001-01-31,28.1,32.9,,,38.2,13.9,5.4,0.0,30.4,12.8,-16.0,8.3,
2001-02-28,-3.2,39.8,,,32.9,25.4,8.5,0.0,20.6,12.9,-12.6,8.3,
2001-03-31,26.6,36.4,,,36.7,25.6,11.3,0.0,22.9,17.6,-10.5,8.1,
2001-04-30,10.4,23.9,,,52.9,22.7,6.6,0.0,29.2,13.2,-9.0,8.2,
2001-05-31,10.6,27.1,,,43.3,25.9,8.0,0.0,21.6,16.0,-13.4,8.1,
2001-06-30,6.8,13.5,,,35.5,31.5,10.5,0.0,16.8,14.4,-11.2,8.1,
2001-07-31,6.4,19.8,,,29.9,6.3,10.2,0.0,18.9,14.1,-10.4,8.2,
2001-08-31,15.7,35.4,,,29.7,15.4,9.4,0.0,17.7,12.3,-10.4,8.2,
2001-09-30,18.1,23.6,,,30.4,21.0,6.8,1.6,30.3,14.0,-9.9,8.2,
2001-10-31,-2.8,23.6,,,39.8,13.1,7.7,0.0,19.9,15.2,-8.0,7.8,
2001-11-30,18.7,7.2,,,40.3,6.8,10.7,0.0,19.3,13.2,-6.6,7.9,
2001-12-31,6.1,10.5,,,41.4,16.1,6.6,0.0,19.3,16.1,-6.3,8.0,
2002-01-31,19.6,22.0,,,33.3,-9.2,7.1,0.0,12.7,14.3,-6.0,7.4,
2002-02-28,19.4,29.2,,,32.5,-2.9,8.3,0.0,16.5,15.4,-4.7,7.5,
2002-03-31,12.1,33.8,,,30.4,5.9,7.7,0.0,19.0,11.2,-6.5,7.5,
2002-04-30,11.5,30.9,,,39.2,22.2,6.5,0.0,13.0,21.8,-1.0,7.0,
2002-05-31,5.1,19.2,64.3,29.6,56.3,26.6,10.8,0.0,16.2,16.7,-2.4,7.1,
2002-06-30,11.0,27.8,64.5,28.6,50.5,22.6,9.9,1.5,15.7,16.6,-3.0,7.4,
2002-07-31,18.0,29.4,77.5,38.6,50.5,30.2,8.4,0.0,12.5,16.3,-3.4,7.1,
2002-08-31,11.2,18.9,59.5,15.6,51.3,23.8,7.7,1.5,11.2,17.7,-6.6,7.2,
2002-09-30,0.2,16.5,56.3,15.6,52.3,24.6,11.3,0.0,10.6,18.5,-8.7,7.2,
2002-10-31,8.2,22.5,69.2,15.6,47.6,19.6,8.4,0.0,10.7,18.5,-10.3,7.1,
2002-11-30,3.9,18.6,65.3,34.6,50.0,16.4,8.7,0.0,8.3,16.5,-7.7,7.5,
2002-12-31,12.9,15.9,67.0,33.6,45.2,27.4,11.0,1.4,11.4,19.7,-8.5,7.4,
2003-01-31,-0.2,22.7,61.6,24.6,45.1,-9.7,10.1,0.0,6.1,21.6,-7.9,7.2,
2003-02-28,8.3,27.5,59.5,30.6,42.3,5.1,10.3,0.0,10.3,14.2,-9.0,7.3,
2003-03-31,7.5,24.2,58.8,34.7,34.8,30.1,9.6,0.0,12.0,12.8,-7.9,7.6,
2003-04-30,21.7,32.5,59.9,32.7,35.7,35.6,8.4,0.0,7.5,16.4,-8.3,7.5,
2003-05-31,12.8,23.8,55.6,31.7,44.9,26.8,7.9,1.5,7.5,20.0,-10.9,7.8,
2003-06-30,7.2,13.6,63.9,30.8,44.8,33.5,14.4,1.5,10.1,17.0,-9.7,7.8,
2003-07-31,9.0,11.3,59.3,35.9,50.1,32.6,10.2,1.6,7.3,15.6,-13.2,7.8,
2003-08-31,9.3,11.4,68.8,32.1,46.8,40.6,13.3,1.5,5.8,21.2,-13.8,7.9,
2003-09-30,8.8,10.3,65.4,23.5,42.1,40.8,8.0,3.0,9.8,18.2,-8.0,8.1,
2003-10-31,34.7,17.2,62.9,25.2,33.6,45.0,10.9,3.2,6.0,16.2,-18.1,7.9,
2003-11-30,11.0,30.9,75.4,41.6,43.2,52.7,11.2,3.1,7.8,16.9,-15.3,8.2,
2003-12-31,31.5,26.5,67.5,36.2,47.9,53.7,8.4,3.0,7.5,15.2,-17.1,8.4,
2004-01-31,25.3,21.1,70.0,42.5,43.4,49.6,7.0,2.8,9.3,12.8,-16.7,8.3,
2004-02-29,21.5,17.8,65.3,33.3,24.4,42.4,12.3,1.7,10.2,15.6,-20.2,8.7,
2004-03-31,13.7,25.4,57.7,21.7,37.5,40.7,11.3,0.0,9.2,11.6,-19.2,8.3,
2004-04-30,15.5,30.5,62.6,30.5,47.4,33.5,20.3,1.5,7.5,15.2,-18.6,8.3,
2004-05-31,19.8,26.6,63.2,34.0,41.8,46.5,17.1,3.0,7.4,18.3,-12.7,8.6,
2004-06-30,24.3,30.8,64.8,35.8,45.4,47.8,8.9,0.0,7.5,22.3,-15.8,8.2,
2004-07-31,20.8,24.0,64.4,38.5,42.5,48.3,10.3,1.6,5.8,21.9,-8.2,8.1,
2004-08-31,16.1,23.0,62.4,40.8,48.1,49.1,9.6,0.0,4.5,18.8,-12.3,8.3,
2004-09-30,6.8,37.5,58.4,35.3,45.5,44.1,13.7,1.6,5.7,15.7,-14.0,8.2,
2004-10-31,12.3,34.4,57.4,31.2,50.5,54.0,16.3,1.5,5.6,17.9,-13.7,8.6,
2004-11-30,24.5,41.7,57.9,23.7,44.1,51.7,10.7,1.5,7.4,20.6,-11.0,8.3,
2004-12-31,24.7,37.0,61.0,28.0,41.3,57.6,12.5,0.0,7.1,20.1,-7.6,7.8,
2005-01-31,20.5,31.0,58.1,26.1,52.0,56.4,8.0,1.1,3.3,15.9,-6.8,8.3,
2005-02-28,21.2,22.9,57.6,26.6,54.3,60.2,7.6,1.2,3.9,16.0,-6.1,8.2,
2005-03-31,12.6,23.0,58.4,23.4,41.8,50.6,3.2,0.5,3.4,10.6,-7.8,7.8,
2005-04-30,4.5,20.7,57.4,22.6,40.4,47.4,4.6,1.9,3.7,12.6,-6.1,8.1,
2005-05-31,19.8,29.7,60.3,33.4,41.7,47.3,3.5,1.3,6.2,13.6,-6.5,8.1,
2005-06-30,13.4,32.9,54.2,29.3,45.5,45.5,4.3,3.7,4.8,18.0,-3.6,7.8,
2005-07-31,15.4,35.8,55.5,33.0,44.4,42.2,5.9,3.0,5.7,15.5,-3.2,7.8,
2005-08-31,14.7,27.9,59.9,33.4,44.2,47.4,6.2,1.0,6.4,14.8,-6.2,7.8,
2005-09-30,23.6,23.3,62.8,40.3,40.9,49.4,6.6,1.2,5.5,15.5,-6.3,7.8,
2005-10-31,22.5,34.3,60.9,32.5,41.9,46.8,12.2,1.2,5.7,22.0,-7.2,7.9,
2005-11-30,24.4,37.5,59.2,30.1,45.5,49.3,12.2,0.9,5.8,23.2,-2.1,7.8,
2005-12-31,21.6,38.9,61.2,31.7,59.7,47.5,6.1,1.0,5.2,16.7,-6.3,7.9,
2006-01-31,16.6,34.6,61.9,38.4,40.2,49.7,4.5,0.8,8.1,13.1,-2.3,7.9,
2006-02-28,25.5,27.6,61.1,36.7,40.7,47.1,4.2,0.8,5.2,16.4,-3.5,7.3,
2006-03-31,21.0,28.0,68.7,20.3,38.4,38.4,4.2,0.4,4.3,13.4,-2.0,7.8,
2006-04-30,29.5,29.9,70.6,17.1,37.6,42.5,5.0,0.7,3.0,10.2,-1.8,7.3,
2006-05-31,24.4,33.4,68.9,35.8,41.4,40.2,5.7,1.0,4.5,10.2,-2.6,7.0,
2006-06-30,25.4,33.8,70.3,38.6,38.1,41.3,10.8,1.8,5.9,11.6,-1.7,7.4,
2006-07-31,30.5,34.0,64.4,32.3,46.2,45.4,8.5,2.6,5.1,9.5,-3.5,7.2,
2006-08-31,28.3,32.1,68.0,37.4,42.8,44.4,9.3,1.9,4.7,11.5,-4.1,6.7,
2006-09-30,32.9,27.5,70.2,31.9,39.0,43.9,10.8,3.2,3.9,10.4,-4.3,7.2,
2006-10-31,34.2,35.2,68.5,29.7,42.8,44.7,10.5,4.0,4.2,11.1,-3.8,6.7,
2006-11-30,36.1,39.9,66.9,34.8,45.4,46.6,15.2,0.8,4.8,12.4,-4.8,6.5,
2006-12-31,35.5,40.5,69.1,33.6,48.0,41.2,12.2,1.5,7.5,11.6,-2.8,6.6,
2007-01-31,30.7,42.3,71.1,29.6,47.7,47.1,12.7,1.4,4.9,11.7,-3.6,6.1,
2007-02-28,32.9,33.9,68.8,38.0,40.5,42.7,11.5,0.6,4.4,9.9,-2.3,5.8,
2007-03-31,38.0,31.4,66.2,33.0,47.3,47.7,16.4,0.8,4.7,10.5,-2.7,5.7,
2007-04-30,29.7,22.1,61.9,39.0,49.7,48.9,12.5,0.9,4.9,12.3,-6.7,5.5,
2007-05-31,27.1,30.7,69.3,35.2,50.8,46.3,11.9,1.5,5.1,11.3,-4.2,5.4,
2007-06-30,22.7,28.9,66.2,34.1,59.4,58.0,12.9,1.3,4.3,11.3,-4.7,5.5,
2007-07-31,29.6,32.6,62.9,33.8,57.6,55.7,14.2,2.8,7.6,12.5,-5.5,5.1,
2007-08-31,25.4,24.4,68.6,32.4,55.3,48.6,14.2,3.2,4.7,11.7,-3.2,5.0,
2007-09-30,22.6,30.8,73.3,38.7,58.8,47.6,14.4,0.9,6.3,14.5,-6.6,5.2,
2007-10-31,17.4,31.6,71.7,34.0,64.1,51.4,14.9,4.3,5.9,9.4,-7.7,5.0,
2007-11-30,24.4,32.2,68.7,38.1,68.6,59.4,15.0,1.8,3.5,9.4,-14.2,4.7,
2007-12-31,34.2,35.5,60.8,29.9,66.2,55.7,16.6,1.7,3.5,9.1,-17.1,5.0,
2008-01-31,32.4,39.0,63.9,39.2,52.2,52.8,22.3,1.2,6.8,9.2,-13.4,4.6,
2008-02-29,24.3,31.5,69.6,36.4,56.6,60.5,22.6,0.4,5.2,8.6,-9.6,4.5,
2008-03-31,19.8,25.2,67.2,29.8,56.4,56.5,21.1,2.2,7.4,8.1,-6.2,4.5,
2008-04-30,22.9,23.3,66.0,28.4,60.5,59.5,20.6,1.3,4.0,9.6,-6.6,4.3,
2008-05-31,15.6,12.8,60.2,23.1,47.1,55.2,19.2,1.5,3.7,9.8,-9.0,4.1,
2008-06-30,16.5,12.9,60.0,24.9,45.4,45.6,19.9,0.6,6.3,10.3,-15.1,4.6,-0.86
2008-07-07,,,,,,,,,,,,,-0.89
2008-07-14,,,,,,,,,,,,,-0.87
2008-07-21,,,,,,,,,,,,,-1.0
2008-07-28,,,,,,,,,,,,,-1.15
2008-07-31,9.2,14.9,60.6,23.3,44.6,50.5,17.5,0.9,6.8,9.4,-11.0,4.3,
2008-08-04,,,,,,,,,,,,,-1.27
2008-08-11,,,,,,,,,,,,,-1.49
2008-08-18,,,,,,,,,,,,,-1.51
2008-08-25,,,,,,,,,,,,,-1.65
2008-08-31,-0.8,8.3,57.1,22.3,49.1,56.4,20.4,0.4,5.0,10.9,-8.3,4.1,
2008-09-01,,,,,,,,,,,,,-1.79
2008-09-08,,,,,,,,,,,,,-1.79
2008-09-15,,,,,,,,,,,,,-1.83
2008-09-22,,,,,,,,,,,,,-1.93
2008-09-29,,,,,,,,,,,,,-2.04
2008-09-30,-9.1,0.2,56.7,22.3,58.6,54.2,22.1,0.7,3.9,10.1,-8.7,4.4,
2008-10-06,,,,,,,,,,,,,-2.13
2008-10-13,,,,,,,,,,,,,-2.17
2008-10-20,,,,,,,,,,,,,-2.09
2008-10-27,,,,,,,,,,,,,-2.08
2008-10-31,-16.1,-12.0,56.5,22.9,56.7,53.6,17.0,1.6,9.4,6.6,-13.6,4.2,
2008-11-03,,,,,,,,,,,,,-2.11
2008-11-10,,,,,,,,,,,,,-2.08
2008-11-17,,,,,,,,,,,,,-2.2
2008-11-24,,,,,,,,,,,,,-2.29
2008-11-30,-29.6,-14.5,49.0,11.7,47.6,51.1,16.7,2.4,4.4,9.5,-14.1,4.4,
2008-12-01,,,,,,,,,,,,,-2.41
2008-12-08,,,,,,,,,,,,,-2.65
2008-12-15,,,,,,,,,,,,,-2.89
2008-12-22,,,,,,,,,,,,,-3.18
2008-12-29,,,,,,,,,,,,,-3.5
2008-12-31,-39.6,-35.8,47.5,13.0,42.8,51.9,14.2,0.4,9.4,8.0,-18.7,4.8,
2009-01-05,,,,,,,,,,,,,-3.76
2009-01-12,,,,,,,,,,,,,-3.95
2009-01-19,,,,,,,,,,,,,-4.22
2009-01-26,,,,,,,,,,,,,-4.42
2009-01-31,-42.3,-42.5,46.5,10.5,31.7,48.0,6.7,0.3,6.3,9.1,-16.6,5.3,
2009-02-02,,,,,,,,,,,,,-4.5
2009-02-09,,,,,,,,,,,,,-4.62
2009-02-16,,,,,,,,,,,,,-4.69
2009-02-23,,,,,,,,,,,,,-4.72
